ID,"Street Address
City, State","Building
Registration
Number",HPD-BIN,HUD_ID,HPD-BBL,HPD-complaints S1-2019,HPD-complaints S2-2020,increase
107982799999999991020640046,"457 CONVENT AVE
NEW YORK, NY",123091,1079827,9999999999,1020640046,#N/A,#N/A,#N/A
106116299999999991020540001,"345 EDGECOMBE AVE
NEW YORK, NY",132413,1061162,9999999999,1020540001,#N/A,#N/A,#N/A
106171199999999991020700008,"30 HAMILTON PL
NEW YORK, NY",102040,1061711,9999999999,1020700008,#N/A,#N/A,#N/A
106174699999999991020710054,"58 HAMILTON PL
NEW YORK, NY",102366,1061746,9999999999,1020710054,#N/A,#N/A,#N/A
106098999999999991020500102,"25 HAMILTON TER
NEW YORK, NY",114206,1060989,9999999999,1020500102,#N/A,#N/A,#N/A
106099099999999991020500103,"27 HAMILTON TER
NEW YORK, NY",115471,1060990,9999999999,1020500103,#N/A,#N/A,#N/A
106103499999999991020500203,"29 HAMILTON TER
NEW YORK, NY",117586,1061034,9999999999,1020500203,#N/A,#N/A,#N/A
106097299999999991020500075,"32 HAMILTON TER
NEW YORK, NY",113119,1060972,9999999999,1020500075,#N/A,#N/A,#N/A
106096899999999991020500071,"44 HAMILTON TER
NEW YORK, NY",111105,1060968,9999999999,1020500071,#N/A,#N/A,#N/A
106099899999999991020500111,"49 HAMILTON TER
NEW YORK, NY",113423,1060998,9999999999,1020500111,#N/A,#N/A,#N/A
106099999999999991020500112,"51 HAMILTON TER
NEW YORK, NY",123250,1060999,9999999999,1020500112,#N/A,#N/A,#N/A
106096399999999991020500066,"58 HAMILTON TER
NEW YORK, NY",105992,1060963,9999999999,1020500066,#N/A,#N/A,#N/A
106235099999999991020890049,"655 RIVERSIDE DR
NEW YORK, NY",107825,1062350,9999999999,1020890049,#N/A,#N/A,#N/A
106114899999999991020530076,"712 SAINT NICHOLAS AVE
NEW YORK, NY",106084,1061148,9999999999,1020530076,#N/A,#N/A,#N/A
106137299999999991020600133,"715 SAINT NICHOLAS AVE
NEW YORK, NY",115507,1061372,9999999999,1020600133,#N/A,#N/A,#N/A
106135299999999991020600034,"717 SAINT NICHOLAS AVE
NEW YORK, NY",115506,1061352,9999999999,1020600034,1,,
107981999999999991020600036,"721 SAINT NICHOLAS AVE
NEW YORK, NY",117057,1079819,9999999999,1020600036,#N/A,#N/A,#N/A
106114099999999991020530067,"728 SAINT NICHOLAS AVE
NEW YORK, NY",132374,1061140,9999999999,1020530067,#N/A,#N/A,#N/A
106139799999999991020610033,"731 SAINT NICHOLAS AVE
NEW YORK, NY",132636,1061397,9999999999,1020610033,#N/A,#N/A,#N/A
106113699999999991020530061,"736 SAINT NICHOLAS AVE
NEW YORK, NY",112155,1061136,9999999999,1020530061,#N/A,#N/A,#N/A
106145199999999991020620032,"745 SAINT NICHOLAS AVE
NEW YORK, NY",129522,1061451,9999999999,1020620032,#N/A,#N/A,#N/A
106145299999999991020620033,"749 SAINT NICHOLAS AVE
NEW YORK, NY",129523,1061452,9999999999,1020620033,#N/A,#N/A,#N/A
106145399999999991020620034,"751 SAINT NICHOLAS AVE
NEW YORK, NY",114345,1061453,9999999999,1020620034,#N/A,#N/A,#N/A
106151299999999991020630031,"763 SAINT NICHOLAS AVE
NEW YORK, NY",134008,1061512,9999999999,1020630031,#N/A,#N/A,#N/A
106151399999999991020637501,"765 SAINT NICHOLAS AVE
NEW YORK, NY",110515,1061513,9999999999,1020637501,#N/A,#N/A,#N/A
106115799999999991020530122,"766 SAINT NICHOLAS AVE
NEW YORK, NY",133577,1061157,9999999999,1020530122,#N/A,#N/A,#N/A
106151499999999991020630033,"767 SAINT NICHOLAS AVE
NEW YORK, NY",123575,1061514,9999999999,1020630033,#N/A,#N/A,#N/A
106151599999999991020630034,"769 SAINT NICHOLAS AVE
NEW YORK, NY",125897,1061515,9999999999,1020630034,#N/A,#N/A,#N/A
106151699999999991020630035,"771 SAINT NICHOLAS AVE
NEW YORK, NY",113551,1061516,9999999999,1020630035,#N/A,#N/A,#N/A
106151799999999991020630036,"773 SAINT NICHOLAS AVE
NEW YORK, NY",133103,1061517,9999999999,1020630036,#N/A,#N/A,#N/A
106154599999999991020640030,"785 SAINT NICHOLAS AVE
NEW YORK, NY",100693,1061545,9999999999,1020640030,#N/A,#N/A,#N/A
106154699999999991020640031,"787 SAINT NICHOLAS AVE
NEW YORK, NY",100694,1061546,9999999999,1020640031,#N/A,#N/A,#N/A
108754399999999991020647501,"789 SAINT NICHOLAS AVE
NEW YORK, NY",100695,1087543,9999999999,1020647501,#N/A,#N/A,#N/A
106158199999999991020650038,"809 SAINT NICHOLAS AVE
NEW YORK, NY",108935,1061581,9999999999,1020650038,#N/A,#N/A,#N/A
106158399999999991020650040,"813 SAINT NICHOLAS AVE
NEW YORK, NY",105633,1061583,9999999999,1020650040,#N/A,#N/A,#N/A
106159599999999991020660034,"830 SAINT NICHOLAS AVE
NEW YORK, NY",112616,1061595,9999999999,1020660034,#N/A,#N/A,#N/A
